,Position,Appearances,Goals,Assists,Big chances missed,Red cards,PFA_Team,Big chances created,Interceptions,Clearances,Saves,Penalties saved,High Claims
4384,0,9,0.0,0.0,0.0,0,0,0.0,12.0,27.0,0.0,0.0,0.0
4385,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4386,0,35,3.0,1.0,0.0,0,0,0.0,51.0,156.0,0.0,0.0,0.0
4387,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4388,0,4,0.0,0.0,0.0,0,0,0.0,1.0,2.0,0.0,0.0,0.0
4389,0,18,0.0,1.0,0.0,0,0,0.0,19.0,40.0,0.0,0.0,0.0
4390,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4391,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4392,0,17,0.0,0.0,0.0,0,0,0.0,27.0,31.0,0.0,0.0,0.0
4393,0,1,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
4394,0,1,0.0,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,0.0
4395,0,36,2.0,0.0,0.0,0,0,0.0,29.0,158.0,0.0,0.0,0.0
4396,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4397,0,16,1.0,0.0,0.0,0,0,0.0,15.0,46.0,0.0,0.0,0.0
4398,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4399,0,11,1.0,1.0,0.0,1,0,0.0,19.0,9.0,0.0,0.0,0.0
4400,0,16,0.0,0.0,0.0,0,0,0.0,11.0,28.0,0.0,0.0,0.0
4401,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4402,0,19,2.0,0.0,0.0,0,0,0.0,12.0,84.0,0.0,0.0,0.0
4403,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4404,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4405,0,2,0.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
4406,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4407,0,29,1.0,1.0,0.0,0,0,0.0,30.0,95.0,0.0,0.0,0.0
4408,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4409,0,15,1.0,0.0,0.0,0,0,0.0,20.0,38.0,0.0,0.0,0.0
4410,0,8,0.0,0.0,0.0,0,0,0.0,6.0,24.0,0.0,0.0,0.0
4411,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4412,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4413,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4414,0,8,0.0,0.0,0.0,0,0,0.0,5.0,6.0,0.0,0.0,0.0
4415,0,34,1.0,1.0,0.0,0,0,0.0,56.0,79.0,0.0,0.0,0.0
4416,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4417,0,34,2.0,1.0,0.0,0,0,0.0,60.0,122.0,0.0,0.0,0.0
4418,0,13,0.0,0.0,0.0,0,0,0.0,9.0,14.0,0.0,0.0,0.0
4419,0,13,0.0,0.0,0.0,0,0,0.0,12.0,19.0,0.0,0.0,0.0
4420,0,10,0.0,0.0,0.0,0,0,0.0,9.0,29.0,0.0,0.0,0.0
4421,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4422,0,12,0.0,2.0,0.0,0,0,0.0,8.0,17.0,0.0,0.0,0.0
4423,0,10,1.0,2.0,0.0,0,0,0.0,7.0,22.0,0.0,0.0,0.0
4424,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4425,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4426,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4427,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4428,0,30,2.0,0.0,0.0,0,0,0.0,43.0,148.0,0.0,0.0,0.0
4429,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4430,0,24,2.0,0.0,0.0,0,0,0.0,24.0,108.0,0.0,0.0,0.0
4431,0,36,2.0,2.0,0.0,1,0,0.0,41.0,170.0,0.0,0.0,0.0
4432,0,19,1.0,1.0,0.0,0,0,0.0,21.0,46.0,0.0,0.0,0.0
4433,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4434,0,3,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
4435,0,3,0.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
4436,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4437,0,6,0.0,0.0,0.0,0,0,0.0,6.0,4.0,0.0,0.0,0.0
4438,0,34,1.0,1.0,0.0,0,0,0.0,41.0,70.0,0.0,0.0,0.0
4439,0,2,0.0,0.0,0.0,0,0,0.0,0.0,4.0,0.0,0.0,0.0
4440,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4441,0,2,0.0,0.0,0.0,0,0,0.0,2.0,7.0,0.0,0.0,0.0
4442,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4443,0,28,0.0,0.0,0.0,0,0,0.0,45.0,97.0,0.0,0.0,0.0
4444,0,3,0.0,0.0,0.0,0,0,0.0,5.0,5.0,0.0,0.0,0.0
4445,0,28,3.0,0.0,0.0,0,0,0.0,30.0,116.0,0.0,0.0,0.0
4446,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4447,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4448,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4449,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4450,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4451,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
